mdl_raw,mdl_score,spr_raw,spr_score,hrpu_raw,hpru_score,sdc_raw,sdc_sec,sdc_score,ltk_raw,ltk_score,x2mr_finish,two_mr_sec,x2mr_score,apft_pushups,apft_situps,apft_runtime_sec,apft_score,ioct_score,ioct_time,age,hgt_in,wt_lb,bmi,sex,acft_score
300,90,9.2,78,54,94,1:31,91S,100,25,100,12:27:00,747,100,105,104,687,375,994,2.15,22,69,174,25.00911992,Male,562
300,90,12.9,100,39,79,1:27,87S,100,12,84,15:05:00,905,89,74,84,794,293,782,2.52,23,74,197,25.64873176,Male,542
300,90,9.3,79,47,87,1:35,95S,100,13,86,15:01:00,901,89,76,83,788,288,890,2.38,23,69,175,25.16238799,Male,531
340,100,14.2,100,31,71,1:24,84S,100,15,90,14:23:00,863,94,80,73,771,292,770,2.54,24,78,209,23.73966257,Male,555
240,78,9.8,82,35,75,1:23,83S,100,9,78,12:33:00,753,100,72,78,810,285,718,3.09,23,69,196,28.264745,Male,513
240,78,8.6,74,23,66,1:42,102S,97,9,78,17:10:00,1030,75,71,71,795,260,690,3.18,22,70,182,25.73752828,Male,468
240,78,9.8,82,34,74,1:40,100S,98,14,88,14:01:00,841,96,74,79,814,283,830,2.44,21,75,189,23.93091977,Male,516
260,82,7.4,68,30,70,1:54,114S,86,7,74,17:01:00,1021,76,72,80,802,278,680,3.25,22,70,191,25.99597632,Male,456
150,62,5.7,63,12,61,2:24,144S,67,11,82,15:35:00,935,86,72,92,845,351,874,3.42,22,66,143,23.12906371,Female,421
170,64,5.9,64,19,64,1:57,117S,83,6,72,15:21:00,921,87,48,83,873,297,884,3.37,22,66,136,22.51214831,Female,434
300,90,9.3,79,27,68,1:37,97S,99,10,80,16:29:00,989,80,65,88,724,288,806,2.48,22,69,182,25.88131336,Male,496
300,90,9.1,77,44,84,1:34,94S,100,20,100,13:45:00,825,98,100,93,735,348,936,2.3,21,66,153,25.51376808,Male,549
300,90,8.8,75,47,87,1:33,93S,100,14,88,16:57:00,1017,76,103,91,724,339,994,2.16,22,66,174,27.33434802,Male,516
300,90,8.9,76,30,70,1:38,98S,99,12,84,17:21:00,1041,74,75,76,872,274,734,3.03,24,67,194,29.663479,Male,493
200,70,9.1,77,40,80,1:34,94S,100,7,74,15:21:00,921,87,88,82,791,293,920,2.33,21,72,197,26.3661442,Male,488
200,70,7.7,69,16,63,1:38,98S,99,7,74,15:37:00,937,85,75,82,723,288,788,2.51,22,69,146,22.24564059,Male,460
180,65,6.7,66,13,61,1:56,116S,84,5,70,14:25:00,865,93,59,95,837,350,920,3.23,22,65,138,23.01241827,Female,439
160,63,6,64,13,61,2:32,152S,65,6,72,16:34:00,994,79,42,78,1017,283,772,4.23,21,70,127,17.74994082,Female,404
240,78,7.8,69,26,68,1:35,95S,100,8,76,11:52:00,712,100,60,96,665,285,782,2.52,22,72,170,22.69662929,Male,491
340,100,10,83,53,93,1:24,84S,100,20,100,12:12:00,732,100,100,103,686,375,936,2.3,22,70,180,25.59374321,Male,576
240,78,9,77,30,70,1:31,91S,100,7,74,18:16:00,1096,68,79,90,795,296,794,2.5,22,67,168,27.17260631,Male,467
340,100,9.7,81,36,76,1:35,95S,100,10,80,15:19:00,919,87,83,83,840,282,800,2.49,21,68,180,26.4889495,Male,524
160,63,5.9,64,4,30,1:53,113S,87,0,0,13:34:00,814,99,65,102,774,356,908,3.28,21,64,144,24.76922567,Female,343
300,90,11.4,93,37,77,1:27,87S,100,15,90,12:44:00,764,100,70,90,749,294,932,2.31,24,73,210,28.26885564,Male,550
150,62,5.3,62,28,69,2:22,142S,67,2,62,16:24:00,984,80,70,89,839,343,902,3.34,22,63,120,21.07775477,Female,402
150,62,6.4,65,20,65,2:03,123S,77,9,78,16:29:00,989,80,58,80,838,325,908,3.3,21,64,140,22.84566161,Female,427
200,70,8.2,71,33,73,1:35,95S,100,9,78,12:45:00,765,100,74,87,713,324,896,2.37,23,67,163,26.04041438,Male,492
220,74,9.8,82,40,80,1:29,89S,100,13,86,15:56:00,956,83,72,82,835,284,926,2.32,21,72,178,24.19161685,Male,505
300,90,10.7,88,51,91,1:24,84S,100,18,96,14:42:00,882,91,85,85,749,329,848,2.42,23,68,174,27.15228501,Male,556
200,70,8.7,75,33,73,1:59,119S,81,9,78,17:00:00,1020,76,87,83,836,274,710,3.12,22,65,159,25.84728139,Male,453
220,74,8.1,71,30,70,1:39,99S,98,5,70,16:07:00,967,82,71,86,683,300,908,2.35,22,67,162,24.68351901,Male,465
