"","PERIDNUM","A_AGE","A_SEX","A_FNLWGT","A_ERNLWT","AGI","HRSWK","WSAL_VAL"
"5390",4.0741e+21,35,2,286277,0,0,0,0
"5391",1.67842e+21,57,2,434552,0,0,0,0
"5392",2.41124e+21,33,2,0,0,60005,40,60000
"5393",1.18001e+21,57,2,506527,0,5,0,0
"5394",3.05145e+20,23,2,0,0,45000,40,45000
"5395",2.05033e+21,17,1,0,0,45000,30,45000
"5396",1.31693e+21,15,1,118862,0,0,0,0
"5397",1.05347e+21,42,2,140127,551476,15920,32,4410
"5398",5.05118e+21,49,2,486359,1929764,0,40,25000
"5399",1.71913e+21,10,1,490339,0,0,0,0
"5400",7.9153e+21,13,2,0,0,0,0,0
"5401",1.04934e+21,54,2,444329,0,60205,40,60000
"5402",1.47063e+21,25,2,0,0,0,0,0
"5403",9.50869e+20,43,2,89829,0,86924,40,18148
"5404",2.26334e+21,15,1,78526,0,0,0,0
"5405",1.4924e+21,5,1,64996,0,0,0,0
"5406",1.8546e+21,79,2,110719,445141,4,0,0
"5407",3.23651e+21,17,1,0,0,15000,40,15000
"5408",1.89785e+21,63,2,0,0,0,32,12000
"5409",7.83032e+21,71,1,37296,0,658565,40,590000
"5410",2.41929e+21,67,1,327138,0,34049,0,0
"5411",3.14662e+21,4,1,272378,0,0,0,0
"5412",9.71751e+21,49,2,0,0,176300,40,175000
"5413",4.06003e+21,50,1,210935,0,91240,40,30000
"5414",7.10899e+21,57,1,199349,0,0,40,170000
"5415",3.30516e+20,21,2,506472,0,0,4,1500
"5416",4.51613e+21,33,1,0,0,84800,55,64000
"5417",8.10106e+21,48,2,137909,0,15300,40,7500
"5418",5.25021e+21,74,1,36497,0,473370,10,200000
"5419",2.12308e+21,34,2,463336,0,31200,40,31200
"5420",1.09537e+21,64,1,63231,272890,126471,80,80000
"5421",2.08503e+21,59,1,38984,170582,-3199,40,0
"5422",3.0178e+21,18,1,546837,0,1000,40,1000
"5423",3.10107e+21,19,1,0,0,0,0,0
"5424",6.57526e+21,19,2,310269,0,0,0,0
"5425",1.6054e+21,66,2,97167,390656,17908,0,0
"5426",8.03113e+21,21,1,468542,0,0,0,0
"5427",6.08403e+21,8,1,0,0,0,0,0
"5428",3.0574e+21,20,2,57158,0,20000,40,20000
"5429",3.0455e+21,42,1,0,0,25001,65,0
"5430",1.12772e+21,35,2,408420,1597629,21534,20,21000
"5431",1.88691e+21,52,1,400390,0,145065,40,145000
"5432",5.0611e+20,46,1,42005,0,0,40,52000
"5433",6.96986e+21,49,2,0,0,0,40,90000
"5434",1.31556e+19,33,1,54219,0,20050,40,20000
"5435",1.30753e+21,73,1,36874,0,18253,0,0
"5436",7.21412e+21,32,1,393053,0,44609,40,0
"5437",3.07117e+20,0,2,0,0,0,0,0
"5438",8.51961e+21,41,1,0,0,0,40,66560
"5439",1.81427e+21,34,1,189332,0,0,35,11339
"5440",1.26294e+21,72,2,174993,0,171501,0,0
"5441",4.67083e+21,70,2,397348,0,0,0,0
"5442",4.17821e+21,71,1,485753,0,80650,0,0
"5443",1.00009e+20,53,1,322833,0,136088,45,135000
"5444",2.10005e+21,1,1,0,0,0,0,0
"5445",8.09215e+21,42,2,185865,0,78606,40,78000
"5446",7.11786e+21,63,2,146005,0,0,0,0
"5447",9.47835e+21,11,2,424627,0,0,0,0
"5448",1.14492e+21,19,2,0,0,0,15,1000
"5449",6.10629e+21,45,2,0,0,0,0,0
"5450",8.1307e+20,46,2,0,0,709047,0,0
"5451",8.8631e+21,71,2,33709,0,0,0,0
"5452",3.01101e+20,54,1,111484,0,0,40,60000
"5453",1.86365e+21,41,2,443096,0,0,0,0
"5454",4.10005e+21,4,2,0,0,0,0,0
"5455",2.01111e+20,64,1,255269,0,0,0,0
"5456",2.01335e+21,45,1,0,0,71650,40,60000
"5457",1.55081e+21,30,1,44903,0,29120,36,29120
"5458",1.0503e+21,55,1,0,0,0,40,135000
"5459",7.52082e+21,27,1,247864,0,75502,25,45000
"5460",1.05992e+21,68,1,161403,580721,135931,40,60000
"5461",9.95012e+21,29,1,156879,0,0,0,0
"5462",3.66116e+21,71,1,35837,147249,69015,0,0
"5463",1.24093e+21,49,1,441436,0,0,0,0
"5464",3.10102e+21,47,1,493337,0,46000,40,12000
"5465",2.16091e+21,78,2,0,0,0,0,0
"5466",1.37421e+21,1,2,306345,0,0,0,0
"5467",5.85041e+19,24,2,0,0,5200,30,5200
"5468",3.21721e+21,20,1,600211,2230254,3605,4,3600
"5469",1.20795e+21,44,2,0,0,106800,50,46800
"5470",3.14007e+21,45,1,0,0,0,40,105000
"5471",6.10109e+21,70,2,81533,0,0,0,0
"5472",1.41163e+21,74,2,90627,0,0,0,0
"5473",1.078e+21,55,2,525690,0,132000,40,100000
"5474",7.16452e+21,49,1,89382,0,192000,45,153000
"5475",4.0811e+21,15,2,315814,0,0,0,0
"5476",9.2232e+21,47,2,402432,0,18315,34,17200
"5477",9.90065e+20,77,2,238973,0,0,15,800
"5478",1.61064e+21,2,1,0,0,0,0,0
"5479",5.09403e+21,32,1,0,0,196092,40,85000
"5480",4.90271e+20,9,1,446044,0,0,0,0
"5481",1.91094e+21,41,2,0,0,78108,40,78100
"5482",3.03202e+21,80,2,297696,1178316,8832,0,0
"5483",1.6515e+21,39,1,439779,0,30000,40,30000
"5484",3.60166e+21,21,2,0,0,0,0,0
"5485",7.2026e+20,67,2,400321,0,29455,32,28800
"5486",3.14765e+21,63,2,62399,0,74685,20,50000
"5487",3.57309e+20,71,1,70142,0,0,0,0
"5488",4.0941e+21,4,1,0,0,0,0,0
"5489",5.00104e+20,34,2,49781,207705,103225,0,0
"5490",1.98681e+21,32,2,0,0,0,40,31000
"5491",9.08202e+21,30,1,430689,0,20000,25,20000
"5492",1.0311e+20,16,1,0,0,0,0,0
"5493",5.7378e+21,28,2,118600,0,51675,40,50000
"5494",4.08106e+20,54,2,395907,0,110000,40,40000
"5495",1.47303e+21,16,1,95113,0,0,0,0
"5496",2.25e+21,2,2,467279,0,0,0,0
"5497",4.01457e+21,50,2,129890,0,25010,35,25000
"5498",9.60701e+20,37,2,0,0,118000,40,63000
"5499",1.05122e+21,48,2,0,0,31554,40,31200
"5500",2.81217e+21,80,2,380782,0,28350,0,0
"5501",7.20258e+20,13,1,313793,0,0,0,0
"5502",6.78851e+21,37,2,394691,0,0,40,51000
"5503",3.10108e+21,9,1,480969,0,0,0,0
"5504",5.00104e+20,71,2,33105,0,0,0,0
"5505",3.00289e+19,63,2,0,0,95514,30,20000
"5506",3.51919e+21,13,1,62986,0,0,0,0
"5507",1.75881e+21,19,1,419879,0,11430,20,11430
"5508",1.4476e+21,31,2,0,0,0,40,30000
"5509",7.01568e+21,76,2,348926,0,33276,20,12000
"5510",5.04106e+20,38,1,0,0,40001,40,40000
"5511",2.0269e+21,65,2,125037,0,30001,40,30000
"5512",5.04403e+21,78,1,516872,1980851,0,0,0
"5513",3.21529e+21,37,1,0,0,56001,40,56000
"5514",6.14321e+21,50,1,396272,0,105001,40,60000
"5515",3.32546e+21,33,2,0,0,242825,40,83602
"5516",6.10563e+18,47,2,346350,0,32110,40,30000
"5517",5.604e+21,54,2,63605,0,221492,40,60000
"5518",1.26886e+21,43,1,343578,0,9050,40,5850
"5519",7.80403e+20,55,2,212069,836353,122000,37,92000
"5520",6.12659e+18,11,2,430440,0,0,0,0
"5521",2.1882e+20,12,1,0,0,0,0,0
"5522",2.06103e+20,24,1,0,0,0,0,0
"5523",3.51213e+21,85,2,84058,328021,0,0,0
"5524",2.71464e+21,26,1,396846,0,90000,40,90000
"5525",3.0289e+21,57,2,0,0,0,0,0
"5526",7.1757e+20,10,2,241136,0,0,0,0
"5527",7.11604e+21,46,2,37751,150645,0,0,0
"5528",1.51771e+21,10,1,481752,0,0,0,0
"5529",4.00921e+21,44,2,233865,0,70368,40,60327
"5530",1.4957e+21,40,2,334030,1446951,152000,35,52000
"5531",1.02105e+20,80,2,326098,0,6901,0,0
"5532",5.1816e+21,41,1,39337,154542,0,40,50000
"5533",6.21951e+21,54,1,0,0,53001,45,53000
"5534",9.00922e+20,43,2,448371,0,275642,0,0
"5535",1.10101e+21,6,2,0,0,0,0,0
"5536",1.95124e+21,55,1,469583,1858736,0,46,85000
"5537",7.60212e+21,61,1,0,0,221002,40,220000
"5538",1.40225e+20,46,1,187251,0,0,45,140000
"5539",3.15791e+21,47,1,0,0,25000,40,25000
"5540",6.57456e+21,8,2,0,0,0,0,0
"5541",5.60619e+21,17,1,411905,1660590,0,0,0
"5542",8.41531e+21,31,2,359149,0,10000,40,10000
"5543",9.10008e+21,45,1,0,0,103712,40,55697
"5544",1.00281e+21,53,1,236219,0,245034,50,195000
"5545",5.21012e+19,39,2,0,0,135435,40,40000
"5546",2.05305e+21,79,1,89905,363948,0,0,0
"5547",8.21812e+21,64,2,0,0,52769,40,50000
"5548",2.1982e+20,54,1,471918,0,146920,40,102000
"5549",2.00791e+21,73,1,365843,0,0,0,0
"5550",2.84393e+21,33,1,619097,0,0,40,14000
"5551",5.01905e+21,31,1,73190,0,0,0,0
"5552",4.10327e+18,3,1,703984,0,0,0,0
"5553",3.4056e+21,74,1,0,0,99249,0,0
"5554",6.12071e+21,56,2,0,0,0,0,0
"5555",8.10008e+21,19,2,44460,0,10000,25,10000
"5556",6.73231e+21,66,2,411732,0,3485,0,0
"5557",3.09107e+20,23,1,608170,0,75000,40,35000
"5558",9.04019e+21,61,2,59023,0,0,0,0
"5559",2.67511e+21,43,2,295186,0,55000,40,55000
"5560",1.91473e+21,19,1,0,0,0,0,0
"5561",3.11964e+21,17,1,344368,0,0,0,0
"5562",6.10201e+21,51,2,0,0,0,40,0
"5563",1.20111e+21,56,2,380110,0,0,55,120000
"5564",1.38591e+21,47,1,0,0,108510,40,99000
"5565",5.10102e+21,7,2,0,0,0,0,0
"5566",8.91831e+21,13,1,0,0,0,0,0
"5567",4.62468e+21,27,2,468241,1860960,21418,60,10318
"5568",2.41794e+21,33,2,0,0,40500,30,11000
"5569",7.14181e+21,38,2,181090,0,0,40,30000
"5570",9.02015e+21,5,1,0,0,0,0,0
"5571",3.5021e+21,32,1,110944,0,180113,60,103000
"5572",6.11204e+21,18,2,80015,0,6000,40,6000
"5573",3.96455e+21,44,2,0,0,0,0,0
"5574",8.262e+21,25,1,522150,0,2505,40,2500
"5575",7.65215e+21,57,2,28157,0,0,30,5000
"5576",6.9356e+21,25,2,0,0,70000,40,70000
"5577",4.30575e+19,7,2,0,0,0,0,0
"5578",5.10769e+20,35,2,81201,0,58063,40,58000
"5579",3.81076e+21,41,2,0,0,110001,36,110000
"5580",4.0825e+21,28,1,490962,0,52004,40,50000
"5581",5.0021e+21,77,2,370714,0,116550,0,0
"5582",6.16552e+20,33,1,0,0,20000,36,20000
"5583",1.69154e+21,15,1,146078,0,0,0,0
"5584",2.08407e+21,16,1,321299,1342927,0,0,0
"5585",4.76467e+21,61,2,332529,0,130029,60,130000
"5586",5.04113e+20,72,2,66422,0,0,0,0
"5587",5.51759e+21,78,2,218221,0,0,0,0
"5588",4.11113e+18,18,1,0,0,0,0,0
"5589",2.0238e+21,0,2,0,0,0,0,0
"5590",4.10008e+21,28,2,0,0,25200,40,6000
"5591",5.60061e+20,13,2,394166,0,0,0,0
"5592",1.60542e+21,74,1,339497,1373763,0,0,0
"5593",5.05103e+20,8,1,235132,0,0,0,0
"5594",5.364e+20,27,1,45816,181698,20000,40,20000
"5595",9.71785e+21,25,1,0,0,52250,55,52000
"5596",3.0983e+21,39,1,110320,0,0,40,38250
"5597",2.52057e+21,57,1,0,0,99652,45,63700
"5598",1.75046e+21,13,1,68337,0,0,0,0
"5599",4.81397e+21,23,1,433312,0,1,0,0
"5600",2.06091e+21,67,1,302119,0,0,0,0
"5601",1.10008e+21,52,1,215048,0,140351,55,140000
"5602",8.40912e+20,26,1,280471,1069053,57390,40,55000
"5603",1.2193e+21,69,1,403341,1458994,328606,40,225000
"5604",4.71955e+21,71,2,218749,0,3000,0,0
"5605",8.3078e+21,51,2,422956,0,19080,0,0
"5606",1.04741e+21,11,1,151500,0,0,0,0
"5607",1.10001e+21,40,1,193550,765787,0,40,65000
"5608",5.70065e+20,33,1,104808,0,14160,40,0
"5609",1.07181e+21,37,2,457397,0,0,0,0
"5610",4.06321e+21,62,2,281511,0,5885,0,0
"5611",4.54414e+19,15,2,0,0,0,0,0
"5612",1.801e+21,44,1,0,0,0,40,17000
"5613",1.75684e+21,80,2,499739,1995119,35684,0,0
"5614",7.71206e+21,57,2,41148,0,0,40,22000
"5615",4.02304e+21,85,2,299068,0,100,0,0
"5616",4.10004e+21,42,2,0,0,0,0,0
"5617",7.21859e+21,59,1,0,0,0,40,68000
"5618",6.77331e+21,2,2,394921,0,0,0,0
"5619",4.25912e+21,59,1,125075,0,60042,40,60000
"5620",5.9046e+21,42,2,41287,0,0,40,50000
"5621",8.01106e+21,37,2,502399,0,30000,0,0
"5622",3.64076e+21,16,1,88552,0,0,0,0
"5623",3.71907e+21,16,2,0,0,0,0,0
"5624",2.80563e+21,1,1,167516,0,0,0,0
"5625",1.25141e+21,5,1,313093,0,0,0,0
"5626",5.2758e+21,30,1,0,0,100200,40,100000
"5627",1.13604e+21,41,2,0,0,30005,40,30000
"5628",4.07191e+21,7,1,0,0,0,0,0
"5629",8.01022e+21,12,1,0,0,0,0,0
"5630",1.92174e+21,63,2,306776,0,0,25,1400
"5631",2.0345e+21,53,1,124017,0,76600,55,76500
"5632",2.89984e+21,15,1,480363,0,0,0,0
"5633",1.72071e+21,58,2,426406,0,0,40,90000
"5634",4.10697e+18,28,2,474163,0,0,0,0
"5635",4.40986e+20,54,2,126629,0,156404,40,52100
"5636",5.30256e+20,4,2,0,0,0,0,0
"5637",1.00619e+21,57,2,481381,0,20001,30,20000
"5638",7.79684e+21,40,2,373243,1516441,0,40,40000
"5639",4.84106e+20,58,1,48442,0,241250,40,150000
"5640",6.37712e+20,42,2,514748,0,156300,30,60000
"5641",6.11079e+18,7,2,355814,0,0,0,0
"5642",4.10007e+21,69,1,341774,1306752,0,0,0
"5643",7.71521e+21,47,1,353815,0,0,0,0
